"Name","Version","License","URL"
"GitPython","3.1.46","BSD-3-Clause","https://github.com/gitpython-developers/GitPython"
"Jinja2","3.1.6","BSD License","https://github.com/pallets/jinja/"
"MarkupSafe","3.0.3","BSD-3-Clause","https://github.com/pallets/markupsafe/"
"Pygments","2.19.2","BSD License","https://pygments.org"
"altair","6.0.0","BSD License","https://github.com/vega/altair"
"annotated-types","0.7.0","MIT License","https://github.com/annotated-types/annotated-types"
"arrow","1.4.0","Apache Software License","https://github.com/arrow-py/arrow"
"attrs","25.4.0","MIT","https://www.attrs.org/en/stable/changelog.html"
"blinker","1.9.0","MIT License","https://github.com/pallets-eco/blinker/"
"boolean.py","5.0","BSD-2-Clause","https://github.com/bastikr/boolean.py"
"cachetools","6.2.6","MIT","https://github.com/tkem/cachetools/"
"certifi","2026.1.4","Mozilla Public License 2.0 (MPL 2.0)","https://github.com/certifi/python-certifi"
"chardet","5.2.0","GNU Lesser General Public License v2 or later (LGPLv2+)","https://github.com/chardet/chardet"
"charset-normalizer","3.4.4","MIT","https://github.com/jawah/charset_normalizer/blob/master/CHANGELOG.md"
"click","8.3.1","BSD-3-Clause","https://github.com/pallets/click/"
"contourpy","1.3.3","BSD License","https://github.com/contourpy/contourpy"
"cycler","0.12.1","BSD License","https://matplotlib.org/cycler/"
"cyclonedx-bom","7.2.2","Apache Software License","https://github.com/CycloneDX/cyclonedx-python/#readme"
"cyclonedx-python-lib","11.6.0","Apache Software License","https://github.com/CycloneDX/cyclonedx-python-lib/#readme"
"defusedxml","0.7.1","Python Software Foundation License","https://github.com/tiran/defusedxml"
"fonttools","4.61.1","MIT","http://github.com/fonttools/fonttools"
"fqdn","1.5.1","Mozilla Public License 2.0 (MPL 2.0)","https://github.com/ypcrts/fqdn"
"gitdb","4.0.12","BSD License","https://github.com/gitpython-developers/gitdb"
"idna","3.11","BSD-3-Clause","https://github.com/kjd/idna"
"iniconfig","2.3.0","MIT","https://github.com/pytest-dev/iniconfig"
"isoduration","20.11.0","ISC License (ISCL)","https://github.com/bolsote/isoduration"
"joblib","1.5.3","BSD-3-Clause","https://joblib.readthedocs.io"
"jsonpointer","3.0.0","BSD License","https://github.com/stefankoegl/python-json-pointer"
"jsonschema","4.26.0","MIT","https://github.com/python-jsonschema/jsonschema"
"jsonschema-specifications","2025.9.1","MIT","https://github.com/python-jsonschema/jsonschema-specifications"
"kiwisolver","1.4.9","BSD License","https://github.com/nucleic/kiwi"
"lark","1.3.1","MIT License","https://github.com/lark-parser/lark"
"license-expression","30.4.4","Apache-2.0","https://github.com/aboutcode-org/license-expression"
"lightgbm","4.6.0","MIT License","https://github.com/microsoft/LightGBM"
"lxml","6.0.2","BSD-3-Clause","https://lxml.de/"
"matplotlib","3.10.8","Python Software Foundation License","https://matplotlib.org"
"narwhals","2.16.0","MIT License","https://github.com/narwhals-dev/narwhals"
"numpy","2.4.2","BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0","https://numpy.org"
